AÑO,CÓDIGO_ETC,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2024,10850,Facatativá,30262,77.87,77.7,61.8,75.73,69.31,47.36,84.54,77.17,84.94,88.06,80.26,,,2.83,3.34,2.88,3.07,1.77,88.3,95.08,91.71,82.0,90.78,8.88,1.58,5.42,14.93,7.45,8.91,4.09,8.13,12.38,4.74
2024,7740,Sabaneta,10121,108.03,107.76,82.88,102.91,106.43,77.37,113.93,93.07,110.08,126.26,111.76,,,3.53,6.41,2.64,4.46,2.59,86.42,93.59,91.61,78.36,88.59,10.05,0.0,5.76,17.18,8.82,8.57,1.37,5.31,14.93,5.36
2024,7738,La Estrella (Antioquia),10633,123.23,122.55,86.9,126.91,107.78,78.06,130.62,113.21,138.07,133.92,114.98,,,2.8,4.8,2.11,3.61,1.99,88.91,94.93,93.22,80.8,93.33,8.29,0.27,4.66,15.59,4.68,8.51,2.4,6.46,12.99,6.32
2024,7692,Apartado,28405,88.46,88.46,61.02,83.14,76.39,57.34,102.55,88.85,97.26,111.97,103.82,,,4.8,3.4,3.17,7.55,3.52,89.85,96.54,92.95,83.87,92.02,5.35,0.05,3.88,8.58,4.47,8.47,1.3,7.74,11.93,5.72
2024,7609,Rionegro,20765,106.86,106.36,93.78,109.76,87.55,52.97,116.74,110.05,124.03,121.99,93.19,,,4.1,4.44,3.36,5.27,3.24,82.92,95.56,86.81,74.0,87.31,12.98,0.0,9.83,20.73,9.45,12.3,2.48,10.41,18.96,5.71
2024,4911,Santa Marta,108568,103.03,102.7,74.69,99.85,83.11,53.71,115.94,113.57,121.35,116.83,102.8,,,4.66,5.88,4.84,4.9,2.59,90.38,93.06,91.74,87.15,93.49,4.95,1.06,3.43,7.96,3.92,8.73,9.37,7.96,11.22,3.69
2024,4910,Cartagena,199072,109.17,108.95,71.62,105.82,96.77,63.3,117.92,99.46,123.17,124.65,100.62,,,3.33,4.54,3.18,3.67,2.25,89.54,95.34,91.78,84.97,91.49,7.13,0.13,5.05,11.36,6.26,7.61,3.33,7.25,10.22,3.88
2024,4909,Barranquilla,240304,96.84,96.45,69.25,92.24,82.4,60.26,103.84,93.76,107.83,105.39,95.68,,,1.65,2.2,1.77,1.69,0.86,93.05,97.07,93.86,90.03,95.82,5.3,0.72,4.37,8.28,3.32,6.69,7.61,7.19,7.78,1.92
2024,4841,Yopal,36954,97.82,97.77,78.01,97.01,86.27,55.95,106.78,91.22,108.97,114.54,93.62,,,3.28,3.67,3.06,3.94,1.99,89.32,96.33,92.41,82.53,93.37,7.4,0.0,4.53,13.53,4.64,7.73,2.0,6.87,11.74,2.77
2024,4832,Yumbo,20444,104.26,103.19,79.32,105.28,83.93,58.87,114.16,107.02,120.92,111.44,106.72,,,5.49,5.98,5.25,6.05,4.62,86.1,94.02,88.99,79.03,89.95,8.41,0.0,5.76,14.92,5.43,9.98,5.22,9.15,13.68,6.09
2024,4815,Jamundí,33349,78.46,78.35,61.43,78.03,66.61,41.97,84.51,75.12,90.02,87.68,69.37,,,5.89,5.86,5.34,7.33,3.82,86.76,94.0,89.41,80.66,90.37,7.35,0.14,5.24,12.02,5.81,9.04,1.84,8.06,13.07,5.33
2024,4700,Piedecuesta,33117,96.73,96.62,73.0,96.16,86.32,59.61,103.77,87.62,106.44,108.62,95.43,,,6.08,6.01,5.6,7.61,3.71,87.12,93.93,91.08,80.42,89.29,6.79,0.06,3.32,11.97,7.0,6.73,1.83,4.93,10.74,4.12
2024,4546,Ipiales,20994,99.8,99.77,63.59,92.29,90.18,57.46,112.6,83.51,107.08,123.8,119.23,,,2.48,1.56,1.87,3.61,1.65,95.81,98.19,96.9,93.82,96.84,1.71,0.25,1.23,2.57,1.52,10.37,3.45,8.42,15.65,4.72
2024,4460,Uribia,51737,125.08,125.08,121.7,141.27,52.64,16.62,140.0,166.41,209.35,95.26,48.09,,,1.62,1.48,1.51,2.0,1.44,88.76,97.6,88.91,84.57,89.36,9.62,0.91,9.58,13.43,9.2,14.42,3.85,16.08,15.63,9.07
2024,4449,Riohacha,55850,108.59,108.49,97.55,107.35,78.68,44.79,119.21,116.94,136.58,112.21,86.21,,,3.65,4.58,3.65,3.8,2.35,85.31,94.85,85.67,80.64,90.26,11.03,0.57,10.68,15.56,7.39,10.57,2.42,12.02,12.54,3.65
2024,4436,Pitalito,29223,98.23,98.2,70.92,102.03,80.97,43.77,109.55,106.17,119.07,110.48,85.85,,,4.64,4.94,3.33,6.8,3.58,87.24,95.02,91.52,78.73,88.41,8.12,0.05,5.16,14.47,8.02,9.23,2.79,6.96,15.14,5.94
2024,4382,Quibdó,32562,99.0,99.0,66.77,100.38,80.04,45.12,111.66,103.17,123.19,111.1,88.42,,,1.38,0.63,1.21,1.84,1.26,92.32,99.37,91.95,90.69,94.03,6.3,0.0,6.84,7.47,4.71,10.35,3.1,11.62,12.4,3.38
2024,3960,Malambo,31031,87.57,87.28,52.3,81.66,72.56,58.25,97.61,78.19,98.77,95.29,108.83,,,1.97,4.44,1.93,2.02,1.15,94.74,95.56,95.28,93.41,96.34,3.29,0.0,2.79,4.57,2.51,5.74,5.62,6.27,6.43,2.18
2024,3832,Vichada (ETC),33641,68.28,68.25,52.78,76.39,30.55,10.46,75.93,75.24,111.78,55.31,28.65,,,6.31,4.05,6.26,7.53,4.83,80.87,95.95,77.22,82.71,91.16,12.81,0.0,16.52,9.77,4.01,17.06,0.91,22.17,12.59,4.08
2024,3831,Vaupés (ETC),15344,53.45,53.45,35.5,51.87,36.99,14.24,63.45,55.23,73.81,62.71,44.3,,,5.34,3.75,3.74,7.5,7.0,87.34,96.25,90.46,81.63,84.9,7.32,0.0,5.79,10.86,8.1,16.0,6.88,19.22,15.17,9.4
2024,3830,Guaviare (ETC),23189,74.16,74.11,48.68,69.12,59.0,31.95,87.91,81.47,93.86,90.25,71.08,,,4.8,6.83,3.93,6.23,2.75,87.14,89.19,89.53,81.45,92.11,8.06,3.98,6.54,12.32,5.14,11.13,6.33,11.08,14.9,3.05
2024,3829,Guainía (ETC),16738,71.94,71.94,58.79,72.04,37.34,11.28,82.34,88.55,107.35,69.65,41.62,,,4.73,4.84,3.87,6.69,3.71,80.36,93.69,80.23,75.11,85.05,14.91,1.47,15.9,18.19,11.24,14.82,5.02,17.19,15.55,5.62
2024,3828,Amazonas (ETC),23217,74.82,74.82,49.71,76.87,54.54,26.37,86.84,81.03,103.75,81.23,58.8,,,5.11,6.95,2.95,7.74,6.2,90.44,92.29,91.82,87.69,90.76,4.45,0.76,5.23,4.58,3.04,12.83,5.51,13.19,15.77,7.39
2024,3827,"Archipiélago de San Andrés, Providencia y Santa Catalina (ETC)",10726,94.06,94.0,78.05,93.57,82.79,54.3,99.57,93.17,104.39,102.98,82.93,,,1.94,0.71,1.71,2.26,2.51,88.25,99.29,92.1,80.75,89.23,9.81,0.0,6.18,16.99,8.26,8.45,0.36,7.5,12.87,4.36
2024,3826,Putumayo (ETC),81100,80.03,80.01,50.77,78.12,66.49,38.12,90.06,83.06,94.52,94.34,73.94,,,6.49,5.6,4.89,9.24,5.36,87.44,94.26,90.68,80.72,89.82,6.07,0.14,4.43,10.04,4.82,8.5,3.02,7.56,12.33,4.57
2024,3825,Casanare (ETC),59693,86.85,86.84,63.43,84.13,76.49,47.56,94.19,82.97,97.53,100.55,78.12,,,4.06,4.19,3.51,5.08,3.08,89.54,95.66,92.59,83.94,90.53,6.4,0.15,3.9,10.98,6.4,7.8,1.44,7.16,11.48,3.55
2024,3824,Arauca (ETC),67864,88.81,88.76,64.23,87.73,68.21,40.82,99.66,96.3,109.04,95.78,84.58,,,5.27,5.51,5.16,5.86,3.83,86.86,94.26,87.69,82.13,91.0,7.87,0.24,7.15,12.01,5.18,9.14,3.49,9.67,11.49,4.03
2024,3823,Tuluá,42751,65.54,65.44,46.03,63.46,58.65,43.7,71.47,64.79,72.9,73.94,66.2,,,5.68,6.66,4.9,7.14,3.92,88.05,93.34,90.04,83.34,91.64,6.27,0.0,5.06,9.52,4.44,8.23,2.54,7.1,12.23,4.16
